Name,Size,Type,Align.,AC,HP,Speed,Swim,Fly,Climb,Burrow,STR,DEX,CON,INT,WIS,CHA,STR save,DEX save,CON save,INT save,WIS save,CHA save,Acrobatics,Animal Handling,Arcana,Athletics,Deception,History,Insight,Intimidation,Investigation,Medicine,Nature,Perception,Performance,Persuasion,Religion,Sleight of Hand,Stealth,Survival,WRI,Acid Resistance,Acid Immunity,Cold Res,Cold Immu,Fire Res,Fire Immu,Force Res,Force Immu,Lightening Res,Lightneing Immu,Necrotic Res,Necrotic Immu,Poison Res,Poison Immu,Psychic Res,Psychic Immu,Radiant Res,Radiant Immu,Slashing Res,Slashing Immu,Piercing Res,Piercing Immu,Thunder Res,Thunder Immu,Charmed Immunity,Exhaustion Immunity,Frightened Immunity,Paralyzed Immunity,Prone Immunity,Unconscious Immunity,Senses,Blindsight,Darkvision,Truesight,Tremorsense,Normal,Normal Spellcasting,Master of the Grave,Evasion,Legendary Resistance,Languages,Abyssal,Alive,All,Any,Aquan,Auran,Bothii,Celestial,Common,Creator,Deep Speech,Draconic,Druidic,Dwarvish,Elvish,Giant,Gnoll,Gnomish,Goblin,Ignan,Infernal,Infernal,Modron,None,Olman,Orc,Own,Primal,Primordial,Spider,Sylvan,Telepathy,Terran,Thayan,Thieves' Cant,Undercommon,Yikaria,Telepathy Distance,CR,Additional,Origin
Beholder,Large,Aberration,LE,18,180,30,,,,,10,14,18,17,15,17,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,"Coldres, nonmagicalres, nonsilveredimmu, fireimmu, poisonimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Infernal, telepathy 120",,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,13.00,"Devil's Sight, Magic Resistance, Steadfast",Monster Manual
"Beholder, Death Kiss",Large,Aberration,NE,16,161,,,30,,,18,14,18,10,12,10,,Y,,,Y,,,,,,,,,,,,,Y,,,,,,,"Lightningimmu, proneimmu",,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,Darkvision 120,,120,,,,,,,,"Deep Speech, Undercommon",,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,10.00,Lightning Blood,Volo's Guide to Monsters
"Beholder, Death Tyrant",Large,Undead,LE,19,187,50,,,40,,10,14,14,19,15,19,,,,,,,,,,,,,,,,,,Y,,,,,Y,,Lightningimmu,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Darkvision 90,,90,,,,,,,,Draconic,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,None,Monster Manual
"Beholder, Gauth",Medium,Aberration,LE,15,67,,,20,,,10,14,16,15,15,13,,,,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,Proneimmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Darkvision 120,,120,,,,,,,,"Deep Speech, Undercommon",,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,6.00,"Stunning Gaze, Death Throes",Volo's Guide to Monsters
"Beholder, Spectator",Medium,Aberration,LN,14,39,,,20,,,8,14,14,13,14,11,,,,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,Proneimmu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Darkvision 120,,120,,,,,,,,"Deep Speech, Undercommon",,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,3.00,"Antimagic Cone, Lair, Legendary",Monster Manual
Berbalang,Medium,Aberration,NE,14,38,30,,40,,,9,16,9,17,11,10,,,,,,,,,Y,,,Y,Y,,,,,Y,,,Y,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Truesight 120,,,120,,,,,,,All,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,"Spectral Duplicate, Innate Spellcasting",Mordenkainen's Tome of Foes
Boneclaw,Large,Undead,CE,16,127,40,,,,,19,16,15,13,15,9,,Y,Y,,Y,,,,,,,,,,,,,Y,,,,,Y,,"Coldres, necroticres, nonmagicalres, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu",,,Y,,,,,,,,Y,,,,,,,,,,,,,,Y,Y,Y,Y,,,Darkvision 60,,60,,,,,,,,"Common, Any",,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,"Rejuvenation, Shadow Stealth",Mordenkainen's Tome of Foes
Bugbear,Medium,Humanoid,CE,16,27,30,,,,,15,14,13,8,11,9,,,,,,,,,,,,,,,,,,,,,,,Y,Y,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 60,,60,,,,,,,,"Common, Goblin",,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,1.00,"Brute, Surprise Attack",Monster Manual
Bugbear Chief,Medium,Humanoid,CE,17,65,30,,,,,17,14,14,11,12,11,,,,,,,,,,,,,,Y,,,,,,,,,Y,Y,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 60,,60,,,,,,,,"Common, Goblin",,,,,,,,,Y,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,3.00,"Brute, Hearth of Hruggek, Surprise Attack",Monster Manual
Cambion,Medium,Fiend,ANY EVIL,19,82,30,,60,,,18,18,16,14,12,16,Y,Y,,Y,,Y,,,,,Y,,,Y,,,,Y,,,,,Y,,"Coldres, fireres, lightningres, poisonres, nonmagicalres",,,Y,,Y,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,Darkvision 60,,60,,,,,,,,"Abyssal, Common, Infernal",Y,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,5.00,"Fiendish Blessing, Innate Spellcasting",Monster Manual
Centaur,Large,Monstrosity,NG,12,45,50,,,,,18,14,14,9,13,11,,,,,,,,,,Y,,,,,,,,Y,,,,,,Y,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,,,Y,,,,,"Elvish, Sylvan",,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,2.00,Charge,Monster Manual
Chitine,Small,Monstrosity,CE,14,18,30,,,30,,10,14,12,10,10,7,,,,,,,,,,Y,,,,,,,,,,,,,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 60,,60,,,,,,,,Undercommon,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,0.50,"Fey Ancestry, Sunlight Sensitivity, Web Sense, Web Walker",Volo's Guide to Monsters
"Chitine, Choldrith",Medium,Monstrosity,CE,15,66,30,,,30,,12,16,12,11,14,10,,,,,,,,,,Y,,,,,,,,,,,Y,,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 60,,60,,,,,,,,Undercommon,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,3.00,"Fey Ancestry, Normal Spellcasting, Spider Climb, Sunlight Sensitivity, Web Sense, Web Walker",Volo's Guide to Monsters
Cloaker,Large,Aberration,CN,14,78,10,,40,,,17,15,12,13,12,14,,,,,,,,,,,,,,,,,,,,,,,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 60,,60,,,,,,,,"Deep Speech, Undercommon",,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,8.00,"Damage Transfer, False Appearance, Light Sensitivity",Monster Manual
Couatl,Medium,Celestial,LG,19,97,30,,90,,,16,20,17,18,20,18,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,"Radiantres, psychicimmu, nonmagicalimmu",,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,Truesight 120,,,120,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,4.00,"Innate Spellcasting, Magic Weapons, Shielded Mind",Monster Manual
"Cranium Rat, Swarm",Medium,Beast,LE,12,36,30,,,,,9,14,10,15,11,14,,,,,,,,,,,,,,,,,,,,,,,,,"Bludgeoningres, piercingres, slashingres, charmedimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, proneimmu, restrainedimmu, stunnedimmu",,,,,,,,,,,,,,,,,,,Y,,Y,,,,Y,,Y,Y,Y,,"Darkvision 30, tremorsense 60",,30,,60,,,,,,Telepathy 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,30,5.00,"Illumination, Innate Spellcasting, Swarm, Telepathic Shroud",Volo's Guide to Monsters
Cyclops,Huge,Giant,CN,14,138,30,,,,,22,11,20,8,6,10,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Normal,,,,,Y,,,,,Giant,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,6.00,Poor Depth Perception,Monster Manual
Darkling,Small,Fey,CN,14,13,30,,,,,9,16,12,10,12,10,,,,,,,Y,,,,Y,,,,,,,Y,,,,,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 30, darkvision 120",30,120,,,,,,,,"Elvish, Sylvan",,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,0.50,"Death Flash, Light Sensitivity",Volo's Guide to Monsters
Darkling Elder,Medium,Fey,CN,15,27,30,,,,,13,17,12,10,14,13,,,,,,,Y,,,,Y,,,,,,,Y,,,,,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 30, darkvision 120",30,120,,,,,,,,"Elvish, Sylvan",,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,2.00,Death Burn,Volo's Guide to Monsters
Death Knight,Medium,Undead,CE,20,180,30,,,,,20,11,20,12,16,18,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,"Necroticimmu, poisonimmu, exhaustionimmu, frightenedimmu, poisonedimmu",,,,,,,,,,,,Y,,Y,,,,,,,,,,,,Y,Y,,,,Darkvision 120,,120,,,,,,,,"Abyssal, Common",Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,"Magic Resistance, Marshal Undead, Spellcasting",Monster Manual
Deathlock,Medium,Undead,NE,12,36,30,,,,,11,15,10,14,12,16,,,,Y,,Y,,,Y,,,Y,,,,,,,,,,,,,"Necroticres, nonmagicalres, nonsilveredres, poisonimmu, exhaustionimmu, poisonedimmu",,,,,,,,,,,Y,,,Y,,,,,,,,,,,,Y,,,,,Darkvision 60,,60,,,,,,,,Any,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,"Innate Spellcasting, Normal Spellcasting, Turn Resistance",Mordenkainen's Tome of Foes
Deathlock Mastermind,Medium,Undead,NE,13,110,30,,,,,11,16,12,15,12,17,,,,Y,,Y,,,Y,,,Y,,,,,,Y,,,,,,,"Necroticres, nonmagicalres, nonsilveredres, poisonimmu, exhaustionimmu, poisonedimmu",,,,,,,,,,,Y,,,Y,,,,,,,,,,,,Y,,,,,Darkvision 120,,120,,,,,,,,Any,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,"Innate Spellcasting, Normal Spellcasting, Turn Resistance",Mordenkainen's Tome of Foes
Deathlock Wight,Medium,Undead,NE,12,37,30,,,,,11,14,16,12,14,16,,,,,Y,,,,Y,,,,,,,,,Y,,,,,,,"Necroticres, nonmagicalres, poisonimmu, exhaustionimmu, poisonedimmu",,,,,,,,,,,Y,,,Y,,,,,,,,,,,,Y,,,,,Darkvision 60,,60,,,,,,,,Any,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,"Innate Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Deep Scion,Medium,Humanoid (Shapechanger),NE,11,67,30,40,,,,18,13,16,10,12,14,,,,,Y,Y,,,,,Y,,Y,,,,,,,,,Y,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Aquan, Common, Thieves' Cant",,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,3.00,"Shapechanger, Amphibious",Volo's Guide to Monsters
"Demon Lord, Baphomet",Huge,Fiend (Demon),CE,22,275,40,,,,,30,14,26,18,24,16,,Y,Y,,Y,,,,,,,,,Y,,,,Y,,,,,,,"Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,Y,Y,Y,,,,Truesight 120,,,120,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,23.00,"Charge, Innate Spellcasting, Labyrinthine Recall, Legendary, Magic Resistance, Magic Weapons, Reckless, Lair",Mordenkainen's Tome of Foes
"Demon Lord, Demogorgon",Huge,Fiend (Demon),CE,22,406,50,50,,,,29,14,26,20,17,25,,Y,Y,,Y,Y,,,,,,,Y,,,,,Y,,,,,,,"Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,Y,Y,Y,,,,Truesight 120,,,120,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,26.00,"Innate Spellcasting, Legendary, Magic Resistance, Lair, Magic Weapons, Two Heads",Mordenkainen's Tome of Foes
"Demon Lord, Fraz-Urb'Luu",Large,Fiend (Demon),CE,18,337,40,,40,,,29,12,25,26,24,26,,Y,Y,Y,Y,,,,,,Y,,,,,,,Y,,,,,Y,,"Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,Y,Y,Y,,,,Truesight 120,,,120,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,23.00,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Undetectable",Mordenkainen's Tome of Foes
"Demon Lord, Graz'Zt",Large,Fiend (Demon) Fiend (Shapechanger),CE,20,346,40,,,,,22,15,21,23,21,26,,Y,Y,,Y,,,,,,Y,,Y,,,,,Y,,Y,,,,,"COldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,Y,Y,Y,,,,Truesight 120,,,120,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,24.00,"Shapechanger, Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes
"Demon Lord, Juiblex",Huge,Fiend (Demon),CE,18,350,30,,,,,24,10,23,20,20,16,,Y,Y,,Y,,,,,,,,,,,,,Y,,,,,,,"Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, blindedimmu, charmedimmu, deafenedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu, stunnedimmu, unconsciousimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,Y,Y,Y,Y,Y,Y,Truesight 120,,,120,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,23.00,"Foul, Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration, Spider Climb",Mordenkainen's Tome of Foes
"Demon Lord, Orcus",Huge,Fiend (Demon),CE,20,405,40,,40,,,27,14,25,20,20,25,,Y,Y,,Y,,,,Y,,,,,,,,,Y,,,,,,,"Coldres, fireres, lightningres, necroticimmu, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",,,Y,,Y,,,,Y,,,Y,,Y,,,,,,,,,,,Y,Y,Y,,,,Truesight 120,,,120,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,26.00,"Wand of Orcus, Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Master of Undeath",Mordenkainen's Tome of Foes
"Demon Lord, Yeenoghu",Huge,Fiend (Demon),CE,20,333,50,,,,,29,16,23,15,24,15,,Y,Y,,Y,,,,,,,,,Y,,,,Y,,,,,,,"Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,Y,Y,Y,,,,Truesight 120,,,120,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,24.00,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Rampage",Mordenkainen's Tome of Foes
"Demon Lord, Zuggtmoy",Large,Fiend (Demon),CE,18,304,30,,,,,22,15,18,20,19,24,,Y,Y,,Y,,,,,,,,,,,,,Y,,,,,,,"Coldres, fireres, lightningres, poisonimmu, nonmagicalimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,Y,Y,Y,,,,Truesight 120,,,120,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,23.00,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes
"Demon, Armanite",Large,Fiend (Demon),CE,16,84,60,,,,,21,18,21,8,12,13,,,,,,,,,,,,,,,,,,,,,,,,,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Abyssal, telepathy 120",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,7.00,"Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes
"Demon, Babau",Medium,Fiend (Demon),CE,16,82,40,,,,,19,16,16,11,12,13,,,,,,,,,,,,,,,,,,Y,,,,,Y,,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,Abyssal,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,Innate Spellcasting,Volo's Guide to Monsters
"Demon, Balor",Huge,Fiend (Demon),CE,19,262,40,,80,,,26,15,22,20,16,22,Y,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,"coldres, lightningres, nonmagicalres, fireimmu, poisonimmu, poisonedimmu",,,Y,,,Y,,,Y,,,,,Y,,,,,,,,,,,,,,,,,Truesight 120,,,120,,,,,,,"Abyssal, telepathy 120",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,19.00,"Death Throes, Fire Aura, Magic Resistance, Magic Weapons",Monster Manual
"Demon, Bulezau",Medium,Fiend (Demon),CE,14,52,40,,,,,15,14,17,8,9,6,,,,,,,,,,,,,,,,,,,,,,,,,"Coldres, fireres, lightningres, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,Y,,Y,,,,Darkvision 120,,120,,,,,,,,"Abyssal, telepathy 60",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,60,3.00,"Rotting Presence, Standing Leap, Sure-Footed",Mordenkainen's Tome of Foes
"Demon, Chasme",Large,Fiend (Demon),CE,15,84,20,,60,,,15,15,12,11,14,10,,,Y,,Y,,,,,,,,,,,,,Y,,,,,,,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,"Blindsight 10, darkvision 120",10,120,,,,,,,,"Abyssal, telepathy 120",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,6.00,"Drone, Magic Resistance, Spider Climb",Monster Manual
"Demon, Draegloth",Large,Fiend (Demon),CE,15,123,30,,,,,20,15,18,13,11,11,,,,,,,,,,,,,,,,,,Y,,,,,Y,,"COldres, fireres, lightningres, poisonimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Abyssal, Elvish, Undercommon",Y,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,7.00,"Fey Ancestry, Innate Spellcasting",Volo's Guide to Monsters
